Technical Phrase, Sentence Frequency
new cleaning cartridge, 33
virtual information might, 3
virtual resource, 1
configuration filecreate copy, 9
dirblk waitqueue, 1
root domain, 1
system service, 8
syntax rmvt, 6
46c1937 cleaning cartridge, 23
hmc machine code version, 13
usage information, 1
paper clip while, 7
logical volume fslv03, 4
electromagnetic compatibility emc class, 13
offline storage, 1
following command svmon, 7
following linux, 1
overall system status, 12
savevgstruct myvg related information, 2
make maintenance, 11
available physical memory, 16
shared memory pool wizard, 12
output format, 12
usb external docking station, 22
hardware service provider, 3
enough physical memory, 53
mozilla firefox version, 17
data test cartridge use, 9
item removal, 12
running fix pack, 1
partition boot mode, 1
high availability, 7
exportvg command, 12
system network, 1
0x0000010000000000000000000000000000000000000000000000000000000000 class, 4
overall memory, 10
proper voltage, 15
syncd root, 2
worldwide port number, 4
esd3 eqd3, 2
next fix pack level, 1
specified delimiter, 1
admin ticket, 1
several configuration, 5
plywood sheeting, 2
noncondensing wet bulb, 1
overall workload, 15
primary vios partition, 2
lan network number, 2
down paging vios partition, 8
adapters disk, 9
task specific help, 7
wlm class, 31
standard edition, 13
test protocol, 52
set function, 1
september 2010added information, 4
floor load evaluation, 1
linux environment, 1
uncapped weight, 41
form configuration record, 2
enterprise enablement, 1
server type, 1
boot disk, 1
process id, 3
vdb path, 1
electrical utility, 1
shared memory distribution, 21
peak usage, 78
syntax lsmemdev, 31
dsmc command, 9
bus number, 9
hmc discovery tcp hmc, 12
dynamic partitioning, 59
ground path impedance limit, 1
npiv examplesto list, 4
command behavior, 14
entire allocation block, 1
standard technology, 12
setting ipv6, 1
modem transmission, 1
level port list, 9
valid file system type, 1
firmware code v0330, 16
fixed protection, 1
physical tape, 11
persistent data, 1
deconfigured processing, 1
backup command syntax, 5
analog jack, 6
cluster communication, 8
setting security level, 2
signal reference ground, 9
internal level indicator, 24
local hard drive, 11
partition information, 16
different frequency, 1
safe location, 2
user name, 89
avail related information, 3
networkservice parameter, 7
lstcpip command, 10
low profile, 12
remote login, 5
original failure group, 1
queue crc, 8
vsn capability, 29
original logical volume, 3
prerequisitesin order, 22
system firmware level, 11
data cartridge gb dat72, 1
blade server management module, 1
workload manager agent, 14
pub run, 8
new partition profile, 34
further adjustment, 8
total power, 15
san reconfiguration, 1
wireless device, 4
changed paging partition, 4
table option, 9
primary cooling loop, 13
separate supply system, 9
select task group, 10
kdc discovery, 1
computer power center, 3
configuration record, 33
storage life, 3
geographic region, 2
temperature sensor un, 12
ip address version, 14
lsgcl command purpose, 8
first number, 1
system plan file, 9
select task menu, 2
room dew point, 2
journaled file system, 2
fibre channel device, 1
general tab, 4
type boot, 1
normal ipl mode, 1
pid section, 10
airside economizer, 1
vlan header, 4
data cartridge dds4 gb, 9
slot location, 3
wave shape, 1
lu name window, 3
start system management, 34
primary power, 5
liquid damage, 6
platform module, 24
workload management class report, 207
shutdown state, 16
cable weight, 17
integrated virtual ethernet mtu, 6
highway traffic, 1
filtered reserved address number, 21
current ipl source, 3
microcode level information, 8
table configurable processing, 9
rstprofdata command, 9
minperm percentage tuning parameter, 5
hot air, 34
heat load management, 13
export system plan, 18
nextboot value, 3
xml file, 22
kerberos realm, 3
load module name, 3
only single io, 7
new service pack, 1
use partition profile name, 5
route network traffic, 2
kerberos administrative user, 1
similar throughput, 4
previous figure, 2
volume group id, 1
approximate run time, 44
specified port group, 4
part identifier, 7
faulting segment, 1
ent7 related information, 2
mpio configuration, 10
parameter description count, 10
air heat conduction, 18
changed configuration, 9
set level, 2
variable section, 1
shared ethernet, 27
active memory sharing, 8
umsetzung der, 15
file space, 11
support setting, 3
new value, 25
command purpose, 108
link hsl opticonnect, 1
machine information, 4
process report, 30
mib object identifier, 1
resource group name, 5
pool percentage, 6
error log reference code, 2
execution time, 20
bootable device, 10
page size header, 3
pool private memory, 12
syntax chvg num, 7
other rack, 11
associated virtual ethernet, 4
hardware test, 18
rmrep command purpose, 11
listing system level memory, 1
drive fc external usb, 1
room temperature, 17
poor reception, 3
system boot, 32
ip address box, 2
reboot diagnosis netstat, 14
nondirectory archive, 3
partition configuration image operation, 1
entire file system, 1
81y3649 fru, 1
new device, 7
fire protection, 1
convenience outletsa suitable number, 14
possible source, 2
default level, 1
bytes read, 6
dynamic lpar dlpar, 1
keytab ktutil, 1
target device, 54
aix package, 3
incorrect firmware, 5
variable length, 3
list possible source, 12
grep digithe response, 4
load sharing, 16
documentation cd, 30
dual power, 10
encrypted library, 4
economical sound reduction, 7
lv02 lvtest parent topic, 1
unique identifier udid, 4
half duplex mb ethernet, 1
month filter default, 17
dump operation, 21
remote copy pprc pair, 3
required minimum memory amount, 9
twinaxial console, 15
client operating system, 3
ethernet adapters, 57
topology viewer, 2
peak temperature, 9
level targethost timeoutvalue retrynumber, 3
hmc server, 8
user name link, 6
encrypted ssl, 5
maximum temperature, 5
character set, 8
data processing system, 4
same size, 30
current score, 14
running duplex, 1
present list, 7
rack switch, 5
unique identifier, 7
gvrp gvrp statistic description, 15
following device list, 3
new host name, 1
physical misuse, 1
ivm environment, 1
sendmail root, 1
tape tape, 18
location code suffix, 3
list virtual partition, 1
only logical partition, 13
virtual scsi queue depth, 9
advanced setup menu, 3
4k page, 3
following user, 5
work surface, 1
safe environment, 9
report tmem, 7
microcode download, 24
assumptionsthis scenario, 12
client level, 1
nested double quotation, 58
change user interface, 16
overall system firmware, 1
power architecture technology, 14
fan cage, 30
heat exchanger, 80
remote user, 17
change field, 9
processor management, 5
physical scsi, 1
total time, 20
remote virtual terminal task, 3
mixed page size segment, 17
first address, 3
independent server, 2
typing lssyscfg, 5
different operating, 2
virtual processor ratio, 4
change link aggregation, 1
backplane daughter, 25
independent physical storage, 4
kernel mode, 1
access data, 44
current security setting, 2
numeric format, 6
hard drive, 4
memory processor, 2
support deployment, 12
primary device, 3
view record, 5
warning message, 19
logical name, 33
cooling distribution, 5
valid address, 3
gb compression, 6
3ad mode, 2
hmc platform, 5
list partition profile, 1
might result, 15
spreadsheet format output, 6
domain name entry, 6
gauss typical information technology, 6
actual location code, 2
managing physical adapters, 7
user access, 6
description description, 14
stoptrace related information, 3
static ip address, 9
local server, 10
global environment, 2
specific peripheral component, 2
informational message, 35
remote support, 19
advanced select move, 19
hmc modem line port, 5
specified active process, 7
unassigned hardware, 3
premium search, 5
processor power, 42
virtual target device vtd, 5
new process, 1
incomplete client configuration, 1
variable part, 5
installation status, 3
pcie adapters, 2
additional virtual disk storage, 3
hardware page table hpt, 1
physical volume command description, 6
hmc private network, 14
report header, 1
laser module, 1
reboot value, 2
system adapter firmware, 6
mac address format, 3
many machine, 4
graphical user interface, 15
select column, 7
building air conditioning system, 6
virtual target, 61
fc eu23, 22
physical ethernet adapter mac, 1
system plan viewer, 61
digit month, 1
full screen process display, 1
default set, 7
full processor, 7
agent manager, 4
same logical volume, 7
maximum heat load, 4
paging partition, 123
rack cabinet, 114
hmc type, 12
form factor, 5
reset function, 11
use traceroute, 11
file system management, 1
service mode boot, 45
default backup device, 1
logical partition profile, 41
green power, 45
electric shock, 10
high degree, 2
dock 46k7435 internal usb, 27
maximum processing unit, 6
impact might damage, 3
tcvn vietnam, 2
host ethernet adapters, 3
class product, 9
mpss option, 1
power infrastructure, 13
digi device, 4
time setting, 8
reserved storage device, 10
main menu, 1512
welcome message, 22
physical processor, 10
testvg related information, 2
free hard drive space, 24
devicetype flag, 1
dead gateway detection, 10
basic level, 4
copyright notice, 2
default virtual processor, 8
additional line, 3
associated virtual scsi adapter, 20
command line interface ap, 1
attempted migration, 11
delimiter character, 14
drc name, 7
weight gain, 28
cluster name, 1
off normal cartridge motion, 13
taskbar switching, 1
outcome list, 7
proper operating environment, 1
access access permission, 1
same space, 3
local hmc operator, 4
memory use, 129
input asn, 1
mm position, 3
development engineer, 8
serviceable event icon, 8
topas display, 3
inactive partition, 58
control channel control, 8
dat72 format, 2
equipment power plug, 1
copy logical partition, 3
psbuf space, 3
specified segment, 8
local hostname host name, 1
trunk setting, 1
degraded performance, 11
internal usb compatibility, 1
customer information window, 9
recommended installation, 16
energy estimator, 10
unencrypted data, 2
metal area, 8
reducevg vg01 hdisk1, 9
syslog uuid, 1
earth ground, 1
worldwide unique identifier, 42
insert scratch data cartridge, 40
resource type might, 5
optional amregport number, 6
network speed, 16
shipping bag, 2
following table, 397
multiple high priority frus, 6
syntax chrep size description, 14
outbound connectivity customize, 10
underfloor air distribution, 7
fix level, 32
serviceable event, 80
hmc view record, 6
span processing, 1
format argument, 3
option rom version, 1
lv01 related information, 2
first position, 3
network traffic, 24
door width, 3
mpio virtual scsi, 4
open terminal session, 3
statistic descriptionsstatistic description number, 7
partition management function, 6
additional security, 6
running chvg, 1
integrated virtualization manager information, 1
total page, 13
iscsi network, 3
proxy server, 47
optional acoustical treatment, 7
target destination, 5
external usb cable, 10
abnormal shutdown, 10
system plan deployment wizard, 2
uninterruptible power, 2
specified message parent topic, 1
whole block, 6
planning project manager, 5
stoptrace command, 2
contiguous space, 2
additional consideration, 1
ticket lifetime, 16
